MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.240,Active Import Interval (kW),25-09-2024 15:30
10003448599,000000000023738688,0.230,Active Import Interval (kW),25-09-2024 15:00
10003448599,000000000023738688,0.392,Active Import Interval (kW),25-09-2024 14:30
10003448599,000000000023738688,0.224,Active Import Interval (kW),25-09-2024 14:00
10003448599,000000000023738688,0.200,Active Import Interval (kW),25-09-2024 13:30
10003448599,000000000023738688,0.198,Active Import Interval (kW),25-09-2024 13:00
10003448599,000000000023738688,0.218,Active Import Interval (kW),25-09-2024 12:30
10003448599,000000000023738688,0.166,Active Import Interval (kW),25-09-2024 12:00
10003448599,000000000023738688,0.166,Active Import Interval (kW),25-09-2024 11:30
10003448599,000000000023738688,0.172,Active Import Interval (kW),25-09-2024 11:00
10003448599,000000000023738688,0.238,Active Import Interval (kW),25-09-2024 10:30
10003448599,000000000023738688,0.230,Active Import Interval (kW),25-09-2024 10:00
10003448599,000000000023738688,0.498,Active Import Interval (kW),25-09-2024 09:30
10003448599,000000000023738688,0.206,Active Import Interval (kW),25-09-2024 09:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),25-09-2024 08:30
10003448599,000000000023738688,1.560,Active Import Interval (kW),25-09-2024 08:00
10003448599,000000000023738688,2.794,Active Import Interval (kW),25-09-2024 07:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),25-09-2024 07:00
10003448599,000000000023738688,0.164,Active Import Interval (kW),25-09-2024 06:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),25-09-2024 06:00
10003448599,000000000023738688,0.104,Active Import Interval (kW),25-09-2024 05:30
10003448599,000000000023738688,0.148,Active Import Interval (kW),25-09-2024 05:00
10003448599,000000000023738688,0.166,Active Import Interval (kW),25-09-2024 04:30
10003448599,000000000023738688,0.164,Active Import Interval (kW),25-09-2024 04:00
10003448599,000000000023738688,0.106,Active Import Interval (kW),25-09-2024 03:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),25-09-2024 03:00
10003448599,000000000023738688,0.158,Active Import Interval (kW),25-09-2024 02:30
10003448599,000000000023738688,0.164,Active Import Interval (kW),25-09-2024 02:00
10003448599,000000000023738688,0.112,Active Import Interval (kW),25-09-2024 01:30
10003448599,000000000023738688,0.124,Active Import Interval (kW),25-09-2024 01:00
10003448599,000000000023738688,0.196,Active Import Interval (kW),25-09-2024 00:30
10003448599,000000000023738688,0.348,Active Import Interval (kW),25-09-2024 00:00
10003448599,000000000023738688,0.606,Active Import Interval (kW),24-09-2024 23:30
10003448599,000000000023738688,0.764,Active Import Interval (kW),24-09-2024 23:00
10003448599,000000000023738688,0.228,Active Import Interval (kW),24-09-2024 22:30
10003448599,000000000023738688,0.208,Active Import Interval (kW),24-09-2024 22:00
10003448599,000000000023738688,0.444,Active Import Interval (kW),24-09-2024 21:30
10003448599,000000000023738688,0.226,Active Import Interval (kW),24-09-2024 21:00
10003448599,000000000023738688,0.210,Active Import Interval (kW),24-09-2024 20:30
10003448599,000000000023738688,0.262,Active Import Interval (kW),24-09-2024 20:00
10003448599,000000000023738688,0.210,Active Import Interval (kW),24-09-2024 19:30
10003448599,000000000023738688,0.240,Active Import Interval (kW),24-09-2024 19:00
10003448599,000000000023738688,0.132,Active Import Interval (kW),24-09-2024 18:30
10003448599,000000000023738688,0.322,Active Import Interval (kW),24-09-2024 18:00
10003448599,000000000023738688,0.178,Active Import Interval (kW),24-09-2024 17:30
10003448599,000000000023738688,0.164,Active Import Interval (kW),24-09-2024 17:00
10003448599,000000000023738688,0.204,Active Import Interval (kW),24-09-2024 16:30
10003448599,000000000023738688,0.262,Active Import Interval (kW),24-09-2024 16:00
10003448599,000000000023738688,0.206,Active Import Interval (kW),24-09-2024 15:30
10003448599,000000000023738688,0.176,Active Import Interval (kW),24-09-2024 15:00
10003448599,000000000023738688,0.202,Active Import Interval (kW),24-09-2024 14:30
10003448599,000000000023738688,0.140,Active Import Interval (kW),24-09-2024 14:00
10003448599,000000000023738688,0.138,Active Import Interval (kW),24-09-2024 13:30
10003448599,000000000023738688,0.212,Active Import Interval (kW),24-09-2024 13:00
10003448599,000000000023738688,0.138,Active Import Interval (kW),24-09-2024 12:30
10003448599,000000000023738688,0.182,Active Import Interval (kW),24-09-2024 12:00
10003448599,000000000023738688,0.360,Active Import Interval (kW),24-09-2024 11:30
10003448599,000000000023738688,0.226,Active Import Interval (kW),24-09-2024 11:00
10003448599,000000000023738688,0.174,Active Import Interval (kW),24-09-2024 10:30
10003448599,000000000023738688,0.468,Active Import Interval (kW),24-09-2024 10:00
10003448599,000000000023738688,0.310,Active Import Interval (kW),24-09-2024 09:30
10003448599,000000000023738688,0.166,Active Import Interval (kW),24-09-2024 09:00
10003448599,000000000023738688,0.096,Active Import Interval (kW),24-09-2024 08:30
10003448599,000000000023738688,1.638,Active Import Interval (kW),24-09-2024 08:00
10003448599,000000000023738688,2.754,Active Import Interval (kW),24-09-2024 07:30
10003448599,000000000023738688,0.160,Active Import Interval (kW),24-09-2024 07:00
10003448599,000000000023738688,0.130,Active Import Interval (kW),24-09-2024 06:30
10003448599,000000000023738688,0.104,Active Import Interval (kW),24-09-2024 06:00
10003448599,000000000023738688,0.150,Active Import Interval (kW),24-09-2024 05:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),24-09-2024 05:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),24-09-2024 04:30
10003448599,000000000023738688,0.098,Active Import Interval (kW),24-09-2024 04:00
10003448599,000000000023738688,0.134,Active Import Interval (kW),24-09-2024 03:30
10003448599,000000000023738688,0.160,Active Import Interval (kW),24-09-2024 03:00
10003448599,000000000023738688,0.138,Active Import Interval (kW),24-09-2024 02:30
10003448599,000000000023738688,0.122,Active Import Interval (kW),24-09-2024 02:00
10003448599,000000000023738688,0.252,Active Import Interval (kW),24-09-2024 01:30
10003448599,000000000023738688,0.254,Active Import Interval (kW),24-09-2024 01:00
10003448599,000000000023738688,0.210,Active Import Interval (kW),24-09-2024 00:30
10003448599,000000000023738688,0.210,Active Import Interval (kW),24-09-2024 00:00
10003448599,000000000023738688,0.362,Active Import Interval (kW),23-09-2024 23:30
10003448599,000000000023738688,0.248,Active Import Interval (kW),23-09-2024 23:00
10003448599,000000000023738688,0.208,Active Import Interval (kW),23-09-2024 22:30
10003448599,000000000023738688,0.268,Active Import Interval (kW),23-09-2024 22:00
10003448599,000000000023738688,0.222,Active Import Interval (kW),23-09-2024 21:30
10003448599,000000000023738688,0.222,Active Import Interval (kW),23-09-2024 21:00
10003448599,000000000023738688,1.180,Active Import Interval (kW),23-09-2024 20:30
10003448599,000000000023738688,0.898,Active Import Interval (kW),23-09-2024 20:00
10003448599,000000000023738688,0.108,Active Import Interval (kW),23-09-2024 19:30
10003448599,000000000023738688,0.160,Active Import Interval (kW),23-09-2024 19:00
10003448599,000000000023738688,0.188,Active Import Interval (kW),23-09-2024 18:30
10003448599,000000000023738688,0.316,Active Import Interval (kW),23-09-2024 18:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),23-09-2024 17:30
10003448599,000000000023738688,0.198,Active Import Interval (kW),23-09-2024 17:00
10003448599,000000000023738688,0.190,Active Import Interval (kW),23-09-2024 16:30
10003448599,000000000023738688,0.152,Active Import Interval (kW),23-09-2024 16:00
10003448599,000000000023738688,0.170,Active Import Interval (kW),23-09-2024 15:30
10003448599,000000000023738688,0.284,Active Import Interval (kW),23-09-2024 15:00
10003448599,000000000023738688,0.326,Active Import Interval (kW),23-09-2024 14:30
10003448599,000000000023738688,0.146,Active Import Interval (kW),23-09-2024 14:00
10003448599,000000000023738688,0.236,Active Import Interval (kW),23-09-2024 13:30
10003448599,000000000023738688,0.224,Active Import Interval (kW),23-09-2024 13:00
10003448599,000000000023738688,0.388,Active Import Interval (kW),23-09-2024 12:30
10003448599,000000000023738688,0.172,Active Import Interval (kW),23-09-2024 12:00
10003448599,000000000023738688,0.198,Active Import Interval (kW),23-09-2024 11:30
10003448599,000000000023738688,0.190,Active Import Interval (kW),23-09-2024 11:00
10003448599,000000000023738688,0.364,Active Import Interval (kW),23-09-2024 10:30
10003448599,000000000023738688,0.214,Active Import Interval (kW),23-09-2024 10:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),23-09-2024 09:30
10003448599,000000000023738688,0.202,Active Import Interval (kW),23-09-2024 09:00
10003448599,000000000023738688,0.152,Active Import Interval (kW),23-09-2024 08:30
10003448599,000000000023738688,1.574,Active Import Interval (kW),23-09-2024 08:00
10003448599,000000000023738688,2.766,Active Import Interval (kW),23-09-2024 07:30
10003448599,000000000023738688,0.118,Active Import Interval (kW),23-09-2024 07:00
10003448599,000000000023738688,0.168,Active Import Interval (kW),23-09-2024 06:30
10003448599,000000000023738688,0.156,Active Import Interval (kW),23-09-2024 06:00
10003448599,000000000023738688,0.114,Active Import Interval (kW),23-09-2024 05:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),23-09-2024 05:00
10003448599,000000000023738688,0.166,Active Import Interval (kW),23-09-2024 04:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),23-09-2024 04:00
10003448599,000000000023738688,0.124,Active Import Interval (kW),23-09-2024 03:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),23-09-2024 03:00
10003448599,000000000023738688,0.154,Active Import Interval (kW),23-09-2024 02:30
10003448599,000000000023738688,0.188,Active Import Interval (kW),23-09-2024 02:00
10003448599,000000000023738688,0.186,Active Import Interval (kW),23-09-2024 01:30
10003448599,000000000023738688,0.220,Active Import Interval (kW),23-09-2024 01:00
10003448599,000000000023738688,0.264,Active Import Interval (kW),23-09-2024 00:30
10003448599,000000000023738688,0.274,Active Import Interval (kW),23-09-2024 00:00
10003448599,000000000023738688,0.220,Active Import Interval (kW),22-09-2024 23:30
10003448599,000000000023738688,0.224,Active Import Interval (kW),22-09-2024 23:00
10003448599,000000000023738688,0.250,Active Import Interval (kW),22-09-2024 22:30
10003448599,000000000023738688,0.194,Active Import Interval (kW),22-09-2024 22:00
10003448599,000000000023738688,0.190,Active Import Interval (kW),22-09-2024 21:30
10003448599,000000000023738688,0.222,Active Import Interval (kW),22-09-2024 21:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),22-09-2024 20:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),22-09-2024 20:00
10003448599,000000000023738688,0.198,Active Import Interval (kW),22-09-2024 19:30
10003448599,000000000023738688,0.124,Active Import Interval (kW),22-09-2024 19:00
10003448599,000000000023738688,0.152,Active Import Interval (kW),22-09-2024 18:30
10003448599,000000000023738688,0.282,Active Import Interval (kW),22-09-2024 18:00
10003448599,000000000023738688,0.212,Active Import Interval (kW),22-09-2024 17:30
10003448599,000000000023738688,0.176,Active Import Interval (kW),22-09-2024 17:00
10003448599,000000000023738688,0.238,Active Import Interval (kW),22-09-2024 16:30
10003448599,000000000023738688,0.194,Active Import Interval (kW),22-09-2024 16:00
10003448599,000000000023738688,0.192,Active Import Interval (kW),22-09-2024 15:30
10003448599,000000000023738688,0.232,Active Import Interval (kW),22-09-2024 15:00
10003448599,000000000023738688,2.826,Active Import Interval (kW),22-09-2024 14:30
10003448599,000000000023738688,1.466,Active Import Interval (kW),22-09-2024 14:00
10003448599,000000000023738688,0.196,Active Import Interval (kW),22-09-2024 13:30
10003448599,000000000023738688,0.110,Active Import Interval (kW),22-09-2024 13:00
10003448599,000000000023738688,0.094,Active Import Interval (kW),22-09-2024 12:30
10003448599,000000000023738688,0.166,Active Import Interval (kW),22-09-2024 12:00
10003448599,000000000023738688,0.144,Active Import Interval (kW),22-09-2024 11:30
10003448599,000000000023738688,0.088,Active Import Interval (kW),22-09-2024 11:00
10003448599,000000000023738688,0.140,Active Import Interval (kW),22-09-2024 10:30
10003448599,000000000023738688,0.156,Active Import Interval (kW),22-09-2024 10:00
10003448599,000000000023738688,0.088,Active Import Interval (kW),22-09-2024 09:30
10003448599,000000000023738688,0.126,Active Import Interval (kW),22-09-2024 09:00
10003448599,000000000023738688,0.158,Active Import Interval (kW),22-09-2024 08:30
10003448599,000000000023738688,0.114,Active Import Interval (kW),22-09-2024 08:00
10003448599,000000000023738688,0.114,Active Import Interval (kW),22-09-2024 07:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),22-09-2024 07:00
10003448599,000000000023738688,0.094,Active Import Interval (kW),22-09-2024 06:30
10003448599,000000000023738688,0.128,Active Import Interval (kW),22-09-2024 06:00
10003448599,000000000023738688,0.164,Active Import Interval (kW),22-09-2024 05:30
10003448599,000000000023738688,0.098,Active Import Interval (kW),22-09-2024 05:00
10003448599,000000000023738688,0.142,Active Import Interval (kW),22-09-2024 04:30
10003448599,000000000023738688,0.134,Active Import Interval (kW),22-09-2024 04:00
10003448599,000000000023738688,0.104,Active Import Interval (kW),22-09-2024 03:30
10003448599,000000000023738688,0.162,Active Import Interval (kW),22-09-2024 03:00
10003448599,000000000023738688,0.128,Active Import Interval (kW),22-09-2024 02:30
10003448599,000000000023738688,0.160,Active Import Interval (kW),22-09-2024 02:00
10003448599,000000000023738688,0.246,Active Import Interval (kW),22-09-2024 01:30
10003448599,000000000023738688,0.192,Active Import Interval (kW),22-09-2024 01:00
10003448599,000000000023738688,0.222,Active Import Interval (kW),22-09-2024 00:30
10003448599,000000000023738688,0.260,Active Import Interval (kW),22-09-2024 00:00
10003448599,000000000023738688,0.202,Active Import Interval (kW),21-09-2024 23:30
10003448599,000000000023738688,0.254,Active Import Interval (kW),21-09-2024 23:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),21-09-2024 22:30
